year,week,team,opponent,cats_won,cats_lost,cats_tied,H_value,H_result,R_value,R_result,HR_value,HR_result,TB_value,TB_result,RBI_value,RBI_result,BB_value,BB_result,SB_value,SB_result,AVG_value,AVG_result,K_value,K_result,QS_value,QS_result,W_value,W_result,L_value,L_result,SV_value,SV_result,HD_value,HD_result,ERA_value,ERA_result,WHIP_value,WHIP_result
2023,5,Cream City Cowtippers,MOArch Redbirds,10,6,0,67.0,1,43.0,1,10.0,1,105.0,1,31.0,1,31.0,1,6.0,1,0.2780083,1,71.0,1,3.0,-1,3.0,-1,5.0,-1,3.0,1,0.0,-1,6.12972973,-1,1.49189189,-1
2023,5,MOArch Redbirds,Cream City Cowtippers,6,10,0,58.0,-1,31.0,-1,7.0,-1,91.0,-1,22.0,-1,27.0,-1,5.0,-1,0.26008969,-1,58.0,-1,6.0,1,4.0,1,4.0,1,1.0,-1,1.0,1,3.92178771,1,1.15642458,1
2023,6,Delray Beach Air Biscuits,The G.O.A.T,4,12,0,58.0,-1,24.0,-1,6.0,-1,91.0,-1,24.0,-1,10.0,-1,2.0,-1,0.28571429,1,69.0,-1,2.0,-1,4.0,-1,2.0,1,6.0,1,1.0,1,3.52840909,-1,1.43181818,-1
2023,6,The G.O.A.T,Delray Beach Air Biscuits,12,4,0,59.0,1,29.0,1,11.0,1,104.0,1,25.0,1,18.0,1,10.0,1,0.26818182,-1,110.0,1,9.0,1,6.0,1,6.0,-1,1.0,-1,0.0,-1,3.3986014,1,1.11188811,1
2023,6,Smokin' Bases,Goldschmidt Happens,10,6,0,53.0,1,30.0,1,8.0,1,89.0,1,34.0,1,29.0,1,2.0,-1,0.25603865,1,92.0,1,10.0,1,1.0,-1,4.0,-1,2.0,-1,1.0,1,3.68600683,-1,1.0443686,-1
2023,6,Goldschmidt Happens,Smokin' Bases,6,10,0,46.0,-1,26.0,-1,4.0,-1,74.0,-1,25.0,-1,12.0,-1,4.0,1,0.22115385,-1,72.0,-1,4.0,-1,3.0,1,3.0,1,5.0,1,0.0,-1,2.95081967,1,0.98360656,1
2023,6,Daisy + Shay Bel-Airs,Lisa dANN,5,11,0,34.0,-1,17.0,-1,5.0,-1,60.0,-1,15.0,-1,14.0,-1,3.0,-1,0.18888889,1,82.0,1,9.0,-1,7.0,1,5.0,1,4.0,1,0.0,-1,3.87030717,-1,1.34129693,-1
2023,6,Lisa dANN,Daisy + Shay Bel-Airs,11,5,0,37.0,1,22.0,1,8.0,1,72.0,1,28.0,1,18.0,1,5.0,1,0.18226601,-1,75.0,-1,10.0,1,6.0,-1,8.0,-1,3.0,-1,3.0,1,3.22258065,1,1.23870968,1
2023,6,MOArch Redbirds,Soto Baggins,5,11,0,41.0,-1,21.0,-1,7.0,-1,72.0,-1,26.0,-1,24.0,-1,2.0,-1,0.21693122,-1,69.0,1,4.0,-1,6.0,1,4.0,1,1.0,1,3.0,1,5.5733945,-1,1.36238532,-1
2023,6,Soto Baggins,MOArch Redbirds,11,5,0,57.0,1,32.0,1,11.0,1,107.0,1,30.0,1,29.0,1,6.0,1,0.28358209,1,64.0,-1,6.0,1,4.0,-1,5.0,-1,0.0,-1,1.0,-1,3.65737052,1,1.2310757,1
2023,6,Cream City Cowtippers,Buck Showalter,7,7,2,56.0,1,34.0,-1,11.0,1,96.0,-1,32.0,0,19.0,-1,8.0,1,0.25688073,-1,79.0,1,7.0,1,8.0,1,2.0,0,0.0,-1,1.0,-1,3.44680851,-1,0.93191489,1
2023,6,Buck Showalter,Cream City Cowtippers,7,7,2,54.0,-1,36.0,1,10.0,-1,104.0,1,32.0,0,20.0,1,5.0,-1,0.27835052,1,62.0,-1,5.0,-1,4.0,-1,2.0,0,2.0,1,3.0,1,2.34782609,1,1.02898551,-1
2023,7,Smokin' Bases,Delray Beach Air Biscuits,12,4,0,60.0,1,30.0,1,13.0,1,113.0,1,35.0,1,22.0,1,3.0,-1,0.27027027,1,89.0,1,5.0,1,4.0,1,4.0,1,0.0,-1,0.0,-1,5.4,-1,1.3875,1
2023,7,Delray Beach Air Biscuits,Smokin' Bases,4,12,0,46.0,-1,22.0,-1,8.0,-1,79.0,-1,23.0,-1,17.0,-1,7.0,1,0.22330097,-1,55.0,-1,3.0,-1,3.0,-1,5.0,-1,3.0,1,1.0,1,5.33898305,1,1.57627119,-1
2023,7,The G.O.A.T,Daisy + Shay Bel-Airs,5,9,2,46.0,-1,27.0,-1,10.0,1,83.0,1,30.0,1,18.0,-1,8.0,1,0.21596244,-1,58.0,-1,5.0,-1,6.0,0,2.0,1,0.0,-1,0.0,0,3.20103093,-1,1.29896907,-1
2023,7,Daisy + Shay Bel-Airs,The G.O.A.T,9,5,2,50.0,1,29.0,1,4.0,-1,80.0,-1,19.0,-1,21.0,1,4.0,-1,0.24875622,1,82.0,1,9.0,1,6.0,0,3.0,-1,5.0,1,0.0,0,3.1640625,1,1.2421875,1
2023,7,Goldschmidt Happens,MOArch Redbirds,4,11,1,53.0,-1,43.0,1,10.0,0,93.0,-1,28.0,-1,32.0,1,7.0,1,0.26237624,-1,69.0,-1,6.0,-1,5.0,-1,4.0,-1,4.0,1,0.0,-1,3.76119403,-1,1.26865672,-1
2023,7,MOArch Redbirds,Goldschmidt Happens,11,4,1,64.0,1,30.0,-1,10.0,0,110.0,1,35.0,1,24.0,-1,1.0,-1,0.29090909,1,80.0,1,9.0,1,7.0,1,2.0,1,1.0,-1,3.0,1,2.34297521,1,0.92975207,1
