Name,Team,espn_id,WHIP,ERA,K,SV,W,L,HD,QS
Jackson Rutledge,WSH,42434,1.52,5.26,58.0,2.0,3.0,4.0,0.0,0.0
Jonathan Bowlan,PHI,41344,1.27,3.94,49.0,1.0,3.0,2.0,0.0,0.0
Corbin Burnes,ARI,39878,1.2,3.69,58.0,2.0,4.0,3.0,0.0,6.0
Keider Montero,DET,5182933,1.46,4.86,51.0,1.0,3.0,4.0,0.0,0.0
Trevor McDonald,SF,5185136,1.53,5.07,67.0,4.0,4.0,6.0,0.0,7.0
Jonathan Cannon,CWS,4620398,1.51,5.05,54.0,1.0,3.0,5.0,0.0,2.0
Porter Hodge,CHC,5185133,1.58,5.04,58.0,4.0,2.0,4.0,0.0,0.0
Tommy Nance,TOR,36385,1.14,3.25,39.0,1.0,3.0,1.0,0.0,0.0
Luis Medina,OAK,40949,1.52,4.86,47.0,5.0,2.0,4.0,0.0,4.0
Jose Leclerc,FA,33926,1.31,4.17,68.0,4.0,3.0,3.0,0.0,0.0
Hurston Waldrep,ATL,4740117,1.57,4.5,39.0,1.0,3.0,2.0,0.0,4.0
Justin Lawrence,PIT,41310,1.47,4.5,33.0,3.0,1.0,3.0,0.0,0.0
Erick Fedde,CWS,33793,1.44,4.6,90.0,2.0,6.0,9.0,0.0,11.0
David Festa,MIN,5124114,1.31,4.34,61.0,1.0,3.0,3.0,0.0,6.0
Dietrich Enns,BAL,36049,1.43,4.93,40.0,1.0,2.0,3.0,0.0,0.0
Jonah Tong,NYM,5214984,1.21,3.19,59.0,2.0,4.0,1.0,0.0,7.0
Mason Fluharty,TOR,4622501,1.32,4.11,58.0,1.0,4.0,2.0,0.0,0.0
Chase Silseth,LAA,4413990,1.65,4.92,71.0,4.0,4.0,4.0,0.0,0.0
Tyler Gilbert,CWS,40559,1.38,4.18,53.0,3.0,3.0,3.0,0.0,0.0
Taylor Clarke,ARI,35277,1.3,4.33,45.0,3.0,3.0,3.0,0.0,0.0
Jordan Montgomery,TEX,38173,1.32,4.09,42.0,2.0,3.0,2.0,0.0,4.0
Tobias Myers,NYM,39716,1.31,3.94,39.0,2.0,3.0,2.0,0.0,6.0
Justin Wrobleski,LAD,4417203,1.36,4.36,59.0,1.0,4.0,3.0,0.0,0.0
Martin Perez,ATL,31098,1.38,4.15,19.0,0.0,2.0,1.0,0.0,3.0
Josiah Gray,WSH,41165,1.39,4.17,93.0,4.0,5.0,6.0,0.0,9.0
Chad Green,TOR,33325,1.31,4.31,42.0,0.0,2.0,3.0,0.0,0.0
Ryan Fernandez,STL,5002952,1.42,4.26,43.0,1.0,1.0,3.0,0.0,0.0
Walker Buehler,SD,39251,1.53,5.06,62.0,1.0,4.0,5.0,0.0,7.0
DL Hall,MIL,41018,1.43,4.11,39.0,0.0,3.0,2.0,0.0,0.0
Andrew Alvarez,WSH,4300668,1.43,4.5,11.0,1.0,1.0,1.0,0.0,1.0
Andrew Chafin,FA,32810,1.36,4.0,42.0,5.0,2.0,2.0,0.0,0.0
Yoendrys Gomez,TB,42898,1.45,4.66,29.0,1.0,1.0,2.0,0.0,3.0
Kevin Kelly,TB,5001153,1.16,3.78,44.0,1.0,2.0,4.0,0.0,0.0
Kyle Hart,SD,39936,1.35,4.31,43.0,1.0,3.0,2.0,0.0,0.0
Joel Peguero,SF,4722917,1.44,4.5,30.0,2.0,1.0,3.0,0.0,0.0
Jason Alexander,HOU,41849,1.49,4.87,50.0,1.0,3.0,4.0,0.0,1.0
Jaden Hill,COL,4414362,1.31,3.86,39.0,2.0,2.0,2.0,0.0,0.0
Brusdar Graterol,LAD,40965,1.13,3.0,23.0,1.0,2.0,1.0,0.0,0.0
Tristan Beck,SF,41309,1.26,3.83,47.0,2.0,3.0,3.0,0.0,0.0
Hunter Bigge,TB,4987389,1.23,4.11,38.0,1.0,2.0,2.0,0.0,0.0
