year,round,pick,overall,team,player_name,keeper
2015,14,4,0,Pedroia Owns U,Fernando Rodney,False
2015,14,5,0,Napoli  Headed Hoes,Ian Kennedy,False
2015,14,6,0,Triple A  Titties ,Drew Storen,False
2015,14,7,0,Real Men of Genius,Jose Quintana,False
2015,14,8,0,Buck Showalter,Chris Tillman,False
2015,14,9,0,Fear The Beards,Erick Aybar,False
2015,14,10,0,THE  SAUCE,Pedro Alvarez,False
2015,14,11,0,NY GMY's,Lucas Duda,False
2015,14,12,0,Magic Man,Alex Rios,False
2015,15,1,0,Magic Man,Shelby Miller,False
2015,15,2,0,NY GMY's,Howie Kendrick,False
2015,15,3,0,THE  SAUCE,Phil Hughes,False
2015,15,4,0,Fear The Beards,Shin-Soo Choo,False
2015,15,5,0,Buck Showalter,Dallas Keuchel,False
2015,15,6,0,Real Men of Genius,Eric Hosmer,False
2015,15,7,0,Triple A  Titties ,Jayson Werth,False
2015,15,8,0,Napoli  Headed Hoes,Collin McHugh,False
2015,15,9,0,Pedroia Owns U,Joaquin Benoit,False
2015,15,10,0,Harley - Simons Inc.,Rick Porcello,False
2015,15,11,0,Smokin' Bases,Steve Cishek,False
2015,15,12,0,RollieFingers YerMom,Matt Cain,False
2015,16,1,0,RollieFingers YerMom,Matt Garza,False
2015,16,2,0,Smokin' Bases,Justin Morneau,False
2015,16,3,0,Harley - Simons Inc.,Mike Fiers,False
2015,16,4,0,Pedroia Owns U,Joe Mauer,False
2015,16,5,0,Napoli  Headed Hoes,Alcides Escobar,False
2015,16,6,0,Triple A  Titties ,Hector Rondon,False
2015,16,7,0,Real Men of Genius,Jonathan Papelbon,False
2015,16,8,0,Buck Showalter,Francisco Rodriguez,False
2015,16,9,0,Fear The Beards,Sean Doolittle,False
2015,16,10,0,THE  SAUCE,Scott Kazmir,False
2015,16,11,0,NY GMY's,Drew Smyly,False
2015,16,12,0,Magic Man,Russell Martin,False
2015,17,1,0,Magic Man,Carlos Martinez,False
2015,17,2,0,NY GMY's,Aaron Sanchez,False
2015,17,3,0,THE  SAUCE,Jake McGee,False
2015,17,4,0,Fear The Beards,Chase Headley,False
2015,17,5,0,Buck Showalter,J.J. Hardy,False
2015,17,6,0,Real Men of Genius,Melky Cabrera,False
2015,17,7,0,Triple A  Titties ,Javier Baez,False
2015,17,8,0,Napoli  Headed Hoes,Neftali Feliz,False
2015,17,9,0,Pedroia Owns U,Danny Duffy,False
2015,17,10,0,Harley - Simons Inc.,Jean Segura,False
2015,17,11,0,Smokin' Bases,Jake Odorizzi,False
2015,17,12,0,RollieFingers YerMom,Curtis Granderson,False
2015,18,1,0,RollieFingers YerMom,Martin Prado,False
2015,18,2,0,Smokin' Bases,Wilson Ramos,False
2015,18,3,0,Harley - Simons Inc.,Joe Nathan,False
2015,18,4,0,Pedroia Owns U,Aramis Ramirez,False
2015,18,5,0,Napoli  Headed Hoes,John Lackey,False
2015,18,6,0,Triple A  Titties ,Dalton Pompey,False
2015,18,7,0,Real Men of Genius,R.A. Dickey,False
2015,18,8,0,Buck Showalter,Adam LaRoche,False
2015,18,9,0,Fear The Beards,Yovani Gallardo,False
2015,18,10,0,THE  SAUCE,Derek Holland,False
2015,18,11,0,NY GMY's,Ben Revere,False
2015,18,12,0,Magic Man,Brandon Belt,False
2015,19,1,0,Magic Man,Khris Davis,False
2015,19,2,0,NY GMY's,Addison Reed,False
2015,19,3,0,THE  SAUCE,Nathan Eovaldi,False
2015,19,4,0,Fear The Beards,Oswaldo Arcia,False
2015,19,5,0,Buck Showalter,Andrew Miller,False
2015,19,6,0,Real Men of Genius,Chase Utley,False
2015,19,7,0,Triple A  Titties ,Drew Pomeranz,False
2015,19,8,0,Napoli  Headed Hoes,Kevin Gausman,False
2015,19,9,0,Pedroia Owns U,Tim Hudson,False
2015,19,10,0,Harley - Simons Inc.,Steve Pearce,False
2015,19,11,0,Smokin' Bases,Brandon McCarthy,False
2015,19,12,0,RollieFingers YerMom,Brett Cecil,False
2015,20,1,0,RollieFingers YerMom,Wily Peralta,False
2015,20,2,0,Smokin' Bases,Tanner Roark,False
2015,20,3,0,Harley - Simons Inc.,Jhonny Peralta,False
2015,20,4,0,Pedroia Owns U,Jesse Hahn,False
2015,20,5,0,Napoli  Headed Hoes,Mike Napoli,False
2015,20,6,0,Triple A  Titties ,Jason Hammel,False
2015,20,7,0,Real Men of Genius,Ervin Santana,False
2015,20,8,0,Buck Showalter,Lorenzo Cain,False
2015,20,9,0,Fear The Beards,Drew Hutchison,False
2015,20,10,0,THE  SAUCE,Clay Buchholz,False
2015,20,11,0,NY GMY's,Rougned Odor,False
2015,20,12,0,Magic Man,Kyle Lohse,False
2015,21,1,0,Magic Man,C.J. Wilson,False
2015,21,2,0,NY GMY's,Henderson Alvarez,False
2015,21,3,0,THE  SAUCE,Tyler Clippard,False
2015,21,4,0,Fear The Beards,Jedd Gyorko,False
2015,21,5,0,Buck Showalter,Alex Rodriguez,False
2015,21,6,0,Real Men of Genius,Mike Leake,False
2015,21,7,0,Triple A  Titties ,Trevor Bauer,False
2015,21,8,0,Napoli  Headed Hoes,Yasmani Grandal,False
2015,21,9,0,Pedroia Owns U,James Paxton,False
2015,21,10,0,Harley - Simons Inc.,Wade Miley,False
2015,21,11,0,Smokin' Bases,Matt Shoemaker,False
2015,21,12,0,RollieFingers YerMom,A.J. Griffin,False
2015,22,1,0,RollieFingers YerMom,Bobby Parnell,False
2015,22,2,0,Smokin' Bases,Denard Span,False
2015,22,3,0,Harley - Simons Inc.,Kyle Gibson,False
2015,22,4,0,Pedroia Owns U,Jesse Chavez,False
2015,22,5,0,Napoli  Headed Hoes,Jacob Turner,False
2015,22,6,0,Triple A  Titties ,Shane Greene,False
2015,22,7,0,Real Men of Genius,Jonathon Niese,False
2015,22,8,0,Buck Showalter,Rafael Soriano,False
2015,22,9,0,Fear The Beards,Mike Moustakas,False
2015,22,10,0,THE  SAUCE,Danny Santana,False
2015,22,11,0,NY GMY's,Wei-Yin Chen,False
2015,22,12,0,Magic Man,Edward Mujica,False
