,Name,Team,z_total,z_H,z_R,z_HR,z_TB,z_RBI,z_BB,z_SB,z_AVG,H,R,HR,TB,RBI,BB,SB,AVG,Type,Pos,z_K,z_QS,z_W,z_L,z_SV,z_HD,z_ERA,z_WHIP,K,QS,W,L,SV,HD,ERA,WHIP,espn_rank,espn_rank_roto,espn_auction
172,Lawrence Butler,ATH,-0.2,-0.318,0.165,-0.438,-0.399,-1.014,0.146,0.741,-1.082,133.0,83.0,21.0,230.0,63.0,59.0,22.0,0.234,BAT,BAT,,,,,,,,,,,,,,,,,205,139.0,0.0
173,Bryce Elder,ATL,-0.204,,,,,,,,,,,,,,,,,PIT,PIT,-0.073,0.525,-0.193,-0.964,-0.547,-0.356,-1.713,-1.24,131.0,14.6,8.0,11.0,0.0,0.0,5.3,1.39,500,556.0,0.0
174,Jeremy Pena,HOU,-0.205,0.432,-0.69,-0.869,-0.283,-1.073,-0.919,0.564,1.921,150.0,68.0,17.0,235.0,62.0,35.0,20.0,0.304,BAT,BAT,,,,,,,,,,,,,,,,,138,73.0,2.0
175,Jeff Hoffman,TOR,-0.212,,,,,,,,,,,,,,,,,PIT,PIT,-1.068,-1.602,0.07,0.196,2.33,-0.356,-0.771,-0.052,84.0,0.0,9.0,7.0,33.0,0.0,4.37,1.19,162,123.0,1.0
176,Devin Williams,NYY,-0.218,,,,,,,,,,,,,,,,,PIT,PIT,-0.941,-1.602,-1.245,0.486,1.022,2.611,-1.196,0.304,90.0,0.0,4.0,6.0,18.0,15.0,4.79,1.13,69,109.0,13.0
177,Ramon Laureano,- - -,-0.225,-0.716,-0.462,-0.115,-0.492,-0.247,-0.919,-0.589,0.934,124.0,72.0,24.0,226.0,76.0,35.0,7.0,0.281,BAT,BAT,,,,,,,,,,,,,,,,,237,304.0,0.0
178,Teoscar Hernandez,LAD,-0.226,-0.627,-0.86,-0.007,-0.353,0.521,-1.319,-0.766,-0.524,126.0,65.0,25.0,232.0,89.0,26.0,5.0,0.247,BAT,BAT,,,,,,,,,,,,,,,,,163,136.0,1.0
179,Kyle Finnegan,- - -,-0.227,,,,,,,,,,,,,,,,,PIT,PIT,-1.682,-1.602,-1.245,1.066,1.545,0.237,0.141,0.423,55.0,0.0,4.0,4.0,24.0,3.0,3.47,1.11,482,285.0,0.0
180,Jake Irvin,WSN,-0.229,,,,,,,,,,,,,,,,,PIT,PIT,-0.221,0.903,0.07,-1.545,-0.547,-0.356,-2.118,-1.477,124.0,17.2,9.0,13.0,0.0,0.0,5.7,1.43,518,878.0,0.0
181,Spencer Strider,ATL,-0.229,,,,,,,,,,,,,,,,,PIT,PIT,-0.073,0.146,-0.456,-1.835,-0.547,-0.356,-0.852,-1.299,131.0,12.0,7.0,14.0,0.0,0.0,4.45,1.4,96,100.0,7.0
182,Jorge Polanco,SEA,-0.23,-0.672,-0.917,0.101,-0.329,-0.128,-0.608,-0.677,0.248,125.0,64.0,26.0,233.0,78.0,42.0,6.0,0.265,BAT,BAT,,,,,,,,,,,,,,,,,212,207.0,0.0
183,Jose A. Ferrer,WSN,-0.232,,,,,,,,,,,,,,,,,PIT,PIT,-1.343,-1.602,-1.245,1.066,0.412,3.798,-0.882,-0.527,71.0,0.0,4.0,4.0,11.0,21.0,4.48,1.27,999,,
184,Felix Bautista,BAL,-0.236,,,,,,,,,,,,,,,,,PIT,PIT,-1.788,-1.602,-2.034,1.936,1.109,-0.356,1.022,0.304,50.0,0.0,1.0,1.0,19.0,0.0,2.6,1.13,999,,
185,Camilo Doval,- - -,-0.242,,,,,,,,,,,,,,,,,PIT,PIT,-1.322,-1.602,-1.245,1.356,0.848,1.622,0.029,-0.824,72.0,0.0,4.0,3.0,16.0,10.0,3.58,1.32,400,287.0,0.0
186,Dustin May,- - -,-0.249,,,,,,,,,,,,,,,,,PIT,PIT,-0.242,0.146,-0.456,-0.964,-0.547,-0.356,-1.368,-1.418,123.0,12.0,7.0,11.0,0.0,0.0,4.96,1.42,364,479.0,0.0
187,Emmanuel Clase,CLE,-0.251,,,,,,,,,,,,,,,,,PIT,PIT,-1.852,-1.602,-0.982,1.356,1.545,-0.158,0.384,-0.289,47.0,0.0,5.0,3.0,24.0,1.0,3.23,1.23,999,,
188,Calvin Faucher,MIA,-0.254,,,,,,,,,,,,,,,,,PIT,PIT,-1.597,-1.602,-1.245,1.066,0.761,1.029,0.333,-0.586,59.0,0.0,4.0,4.0,15.0,7.0,3.28,1.28,489,680.0,0.0
189,Daniel Palencia,CHC,-0.258,,,,,,,,,,,,,,,,,PIT,PIT,-1.555,-1.602,-2.034,0.486,1.371,0.831,0.708,0.245,61.0,0.0,1.0,6.0,22.0,6.0,2.91,1.14,203,131.0,0.0
190,Ozzie Albies,ATL,-0.258,0.212,-0.348,-0.976,-0.632,-0.365,-0.031,0.032,-0.824,145.0,74.0,16.0,220.0,74.0,55.0,14.0,0.24,BAT,BAT,,,,,,,,,,,,,,,,,74,193.0,11.0
191,Sean Burke,CHW,-0.261,,,,,,,,,,,,,,,,,PIT,PIT,-0.03,0.058,-1.245,-0.964,-0.547,-0.356,-0.619,-1.536,133.0,11.4,4.0,11.0,0.0,0.0,4.22,1.44,434,597.0,0.0
192,Charlie Morton,- - -,-0.264,,,,,,,,,,,,,,,,,PIT,PIT,0.308,0.437,0.07,-0.964,-0.547,-0.356,-2.249,-2.368,149.0,14.0,9.0,11.0,0.0,0.0,5.83,1.58,511,762.0,0.0
193,Sal Frelick,MIL,-0.269,0.521,-0.234,-1.407,-0.772,-1.014,-0.387,0.475,1.235,152.0,76.0,12.0,214.0,63.0,47.0,19.0,0.288,BAT,BAT,,,,,,,,,,,,,,,,,159,167.0,1.0
194,Gleyber Torres,DET,-0.271,-0.186,-0.063,-0.976,-0.958,-0.365,1.3,-0.855,-0.138,136.0,79.0,16.0,206.0,74.0,85.0,4.0,0.256,BAT,BAT,,,,,,,,,,,,,,,,,93,204.0,8.0
195,TJ Friedl,CIN,-0.277,0.477,0.108,-1.192,-0.655,-1.605,1.123,-0.146,0.076,151.0,82.0,14.0,219.0,53.0,81.0,12.0,0.261,BAT,BAT,,,,,,,,,,,,,,,,,171,307.0,1.0
